arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
1005 4 1 950 -1 679927 5 916 1030 2 304048 47263 6 2 751805 2 1259 3 1 1 2092 1.125 10 35 5.55375 1 3 6
750 4 1 655 -1 865221 4 1268 770 1 304048 47261 6 1 1072079 0 903 3 1 1 2092 1.125 9 25 5.55375 1 1 6
750 4 1 720 -1 1030541 1 683 1080 2 304109 47079 6 2 797163 2 1259 3 1 1 2152 1.125 19 34 5.1375 1 2 6
1095 1 1 1080 -1 886219 0 222 1440 2 304109 47080 3 4 1030541 1 683 1 1 1 2152 0.904 4 10 5.1375 2 3 6
630 2 1 621 1 797163 2 1259 720 1 304109 47078 6 6 -1 10 1270 3 1 1 2152 -1 8 25 5.1375 2 1 6
620 6 1 570 1 -1 10 1270 621 1 304109 47077 3 1 886219 0 222 1 1 1 2152 -1 22 40 5.1375 1 1 6
685 2 1 660 -1 797163 2 1259 1140 1 304125 47040 6 1 693911 0 16 3 1 1 2165 1.125 16 31 16.8825 1 1 6
1170 1 1 1140 -1 1096688 0 14 1440 2 304125 47041 6 2 797163 2 1259 3 1 1 2165 1.125 16 30 16.8825 1 2 6
740 2 1 660 -1 797163 2 1259 770 1 304138 47006 6 1 853398 0 588 3 1 1 2178 1.125 16 29 5.55375 1 1 6
855 4 1 825 -1 1109106 1 1259 885 1 304138 47008 2 4 1108971 5 1259 1 1 1 2178 0 0.75 5 5.55375 3 3 6
805 4 1 770 -1 1108971 5 1259 825 1 304138 47007 2 2 797163 2 1259 1 1 1 2178 0 0.75 5 5.55375 2 2 6
1225 1 1 1135 -1 853398 0 588 1440 2 304138 47011 6 4 1496 2 1259 3 1 1 2178 1.125 16 27 5.55375 1 6 6
995 4 1 990 -1 1496 2 1259 1135 1 304138 47010 2 4 797163 5 1259 1 1 1 2178 0 0.75 5 5.55375 5 5 6
920 4 1 885 -1 797163 5 1259 990 1 304138 47009 1 4 1109106 1 1259 1 1 1 2178 0 0.9 18 5.55375 4 4 6
1375 1 1 1365 -1 682196 0 1149 1440 2 304172 46910 3 2 1263070 2 1117 1 1 1 2213 0.499298636364 2 5 15.3 1 6 6
1130 2 1 1125 -1 1263070 2 1117 1365 1 304172 46909 3 4 1127923 4 1107 1 1 1 2213 0.286986742424 1 5 15.3 5 5 6
1110 4 1 1075 -1 1127923 4 1107 1125 1 304172 46908 3 4 1120839 7 132 1 1 1 2213 0.72 3 6 15.3 4 4 6
570 4 1 560 -1 788161 4 122 645 1 304172 46905 3 1 682196 0 1149 1 1 1 2213 0.776 3 5 15.3 1 1 6
655 4 1 645 -1 1067458 1 951 965 1 304172 46906 3 4 788161 4 122 1 1 1 2213 0.265419292929 1 45 15.3 2 2 6
985 4 1 965 -1 1120839 7 132 1075 1 304172 46907 3 4 1067458 1 951 1 1 1 2213 0.259497070707 1 46 15.3 3 3 6
1035 1 1 1010 2 1206643 0 266 1440 2 14100211 44550 4 4 943916 5 423 1 3 1 3017 1.138 5 10 574.169625 3 5 10
855 4 1 840 2 1000495 6 934 900 1 14100211 44547 4 4 942092 7 277 1 3 1 3017 0.326027777778 1 5 574.169625 2 2 10
800 4 1 785 2 942092 7 277 840 1 14100211 44546 4 1 1206643 0 266 1 3 1 3017 0.634 2 6 574.169625 1 1 10
925 4 1 900 2 728070 6 747 960 2 14100211 44548 4 4 1000495 6 934 1 3 1 3017 1.236 6 14 574.169625 1 3 10
930 1 1 855 1 1206643 0 266 1440 2 14100211 44545 3 4 231668 5 1277 1 2 1 3016 3.272 15 31 535.902884857 3 4 12
800 4 1 785 1 942092 7 277 840 1 14100211 44537 4 1 1206643 0 266 1 1 1 3015 0.634 2 6 551.211760238 1 1 10
925 4 1 900 1 728070 6 747 960 2 14100211 44539 4 3 1000495 6 934 1 1 1 3015 1.236 6 14 551.211760238 1 3 10
985 4 1 960 2 943916 5 423 1010 2 14100211 44549 4 4 728070 6 747 1 3 1 3017 1.28 5 11 574.169625 2 4 10
1035 1 1 1010 1 1206643 0 266 1440 2 14100211 44541 4 4 943916 5 423 1 1 1 3015 1.138 5 10 551.211760238 3 5 10
800 4 1 795 1 231668 5 1277 855 2 14100211 44544 3 3 231606 6 1278 1 2 1 3016 0.142375606061 6 21 535.902884857 2 3 12
855 3 1 840 1 1000495 6 934 900 1 14100211 44538 4 4 942092 7 277 1 1 1 3015 0.326027777778 1 5 551.211760238 2 2 10
570 2 1 530 1 236628 1 1277 750 1 14100211 44542 3 1 1206643 0 266 1 2 1 3016 3.722 15 31 535.902884857 1 1 12
760 3 1 750 1 231606 6 1278 795 2 14100211 44543 3 2 236628 1 1277 1 2 1 3016 0.213249848485 6 21 535.902884857 1 2 12
985 4 1 960 1 943916 5 423 1010 2 14100211 44540 4 4 728070 6 747 1 1 1 3015 1.28 5 11 551.211760238 2 4 10
1050 1 1 1035 -1 939375 0 255 1125 2 14100212 44534 2 2 1067461 1 947 1 2 1 3020 0 1.65 11 364.157515224 1 2 12
1140 4 1 1125 1 943602 3 1308 1140 1 14100212 44531 4 1 939375 0 255 1 1 1 3018 1.808 9 22 381.009898494 1 3 10
565 1 1 560 1 939375 0 255 1125 2 14100212 44530 3 4 847559 7 314 1 1 2 3019 0.561321565657 2 6 381.009898494 1 2 6
490 4 1 480 1 847559 7 314 560 1 14100212 44529 3 1 939375 0 255 1 1 2 3019 0.539373080808 2 6 381.009898494 1 1 6
1155 1 1 1140 1 939375 0 255 1440 2 14100212 44532 5 4 943602 3 1308 1 1 1 3018 1.804 9 22 381.009898494 1 4 12
