arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
980 1 1 950 -1 920784 0 1270 1005 2 300104 53981 6 2 1030275 7 1269 3 1 1 37 1.125 4 19 4.88375 3 5 6
1020 4 1 1005 -1 925033 5 1269 1050 1 300104 53982 6 1 920784 0 1270 3 1 2 38 1.125 4 19 4.88375 1 6 6
1070 4 1 1050 -1 1088225 6 1270 1125 1 300104 53983 6 4 925033 5 1269 3 1 2 38 1.125 4 19 4.88375 2 7 6
1140 1 1 1125 -1 920784 0 1270 1440 2 300104 53984 6 4 1088225 6 1270 3 1 2 38 1.125 1 9 4.88375 1 8 6
405 4 1 395 -1 723215 1 1267 1020 1 300105 53975 3 1 824315 0 1270 1 1 1 39 0.762 4 19 17.55 1 1 12
1035 1 1 1020 -1 824315 0 1270 1440 2 300105 53976 3 4 723215 1 1267 1 1 1 39 0.762 4 19 17.55 1 2 12
660 2 1 600 -1 1222518 2 1256 1110 1 300106 53973 6 1 904706 0 1336 3 1 1 40 1.125 11 30 5.20125 1 1 6
1170 1 1 1110 -1 904706 0 1336 1440 2 300106 53974 6 2 1222518 2 1256 3 1 1 40 1.125 11 29 5.20125 1 2 6
485 2 1 430 -1 1222518 2 1256 540 1 300118 53968 6 1 946609 0 1241 3 1 1 41 1.125 11 31 5.20125 1 1 6
545 4 1 540 -1 1149412 5 1253 560 1 300118 53969 1 2 1222518 2 1256 1 1 1 41 0 4.2 84 5.20125 2 2 6
565 2 1 560 -1 1222518 2 1256 1170 1 300118 53970 1 4 1149412 5 1253 1 1 1 41 0 4.2 84 5.20125 3 3 6
1210 4 1 1170 -1 946053 3 1243 1140 2 300118 53971 6 2 1222518 2 1256 3 1 1 41 1.125 9 25 5.20125 1 4 6
1250 1 1 1140 -1 946609 0 1241 1440 2 300118 53972 6 4 946053 3 1243 3 1 1 41 1.125 4 19 5.20125 2 5 6
440 4 1 400 -1 696199 1 1315 960 1 300130 53966 3 1 784995 0 1244 1 1 1 42 3.77 16 38 5.20125 1 1 12
1000 1 1 960 -1 784995 0 1244 1440 2 300130 53967 3 4 696199 1 1315 1 1 1 42 3.26 17 39 5.20125 1 2 12
390 4 1 380 1 1147889 1 1260 930 1 300137 53963 4 1 704033 0 1343 1 1 1 43 0.315046363636 5 20 4.88375 1 1 20
935 4 1 930 1 895146 5 1343 975 2 300137 53964 4 4 1147889 1 1260 1 1 1 43 0.473518585859 5 20 4.88375 1 2 20
