hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14106058 14046 2 -1 2 3 1 -1 8 -1.0 -1.0 271.7649 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106057 14042 50 -1 2 1 0 1 1 -1.0 -1.0 227.4254 0 -1 0 5 -1 -1 -1 9.0 31 1186299 1254 1
14106057 14043 14 -1 2 2 1 3 7 10.0 31.0 227.4254 829697 1340 1 1 -1 -1 -1 -1.0 -1 0 -1 0
14106056 14041 60 -1 1 1 -1 1 1 -1.0 -1.0 487.7578 0 -1 0 5 -1 -1 -1 18.0 38 212481 1279 1
14106055 14037 30 -1 1 1 -1 2 1 -1.0 -1.0 916.4031 0 -1 0 0 -1 -1 -1 10.0 32 121371 1281 1
14106055 14038 30 -1 2 2 -1 1 2 -1.0 -1.0 916.4031 0 -1 0 0 -1 -1 -1 7.0 31 152777 1278 2
14106055 14039 2 -1 1 3 1 -1 8 4.0 18.0 916.4031 73530 1289 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106055 14040 2 -1 1 4 1 -1 8 -1.0 -1.0 916.4031 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106054 14034 40 -1 2 1 -1 2 1 -1.0 -1.0 256.8755 0 -1 0 0 -1 -1 -1 7.0 28 103661 1282 1
14106054 14035 40 -1 1 2 -1 1 1 7.0 28.0 256.8755 104755 1282 2 0 -1 -1 -1 48.0 87 701548 1335 1
14106054 14036 8 -1 1 3 1 2 7 5.0 24.0 256.8755 52978 1287 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106053 14033 21 -1 1 1 -1 1 5 -1.0 -1.0 937.1594 0 -1 1 0 -1 -1 -1 6.0 24 126623 1281 1
14106052 14031 60 -1 1 1 -1 1 1 -1.0 -1.0 173.3905 0 -1 0 0 -1 -1 -1 34.0 69 1101026 1327 1
14106052 14032 60 -1 2 2 1 2 4 -1.0 -1.0 173.3905 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106051 14029 40 -1 1 1 -1 1 1 -1.0 -1.0 115.1794 0 -1 0 0 -1 -1 -1 22.0 57 829725 1256 1
14106051 14030 40 -1 2 2 1 2 4 -1.0 -1.0 115.1794 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106050 14027 60 -1 1 1 1 1 1 -1.0 -1.0 343.9912 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106050 14028 60 -1 2 2 -1 1 1 -1.0 -1.0 343.9912 0 -1 0 0 -1 -1 -1 14.0 33 1100163 183 1
14106049 14024 60 -1 2 1 -1 1 1 -1.0 -1.0 2169.9855 0 -1 0 0 -1 -1 -1 9.0 23 913970 809 1
14106049 14025 21 -1 2 2 1 1 4 8.0 23.0 2169.9855 903885 800 2 0 -1 -1 -1 -1.0 -1 0 -1 0
14106049 14026 21 -1 1 3 0 1 1 -1.0 -1.0 2169.9855 0 -1 0 0 -1 -1 -1 12.0 31 714313 1108 1
14106048 14022 40 -1 1 1 -1 3 1 -1.0 -1.0 190.3717 0 -1 0 3 -1 -1 -1 17.0 82 1067461 947 1
14106048 14023 40 -1 2 2 -1 1 2 -1.0 -1.0 190.3717 0 -1 0 0 -1 -1 -1 4.0 20 146407 1278 2
14106047 14021 60 -1 1 1 -1 1 1 -1.0 -1.0 778.1876 0 -1 0 0 -1 -1 -1 16.0 33 109518 1282 1
14106046 14019 40 -1 1 1 1 1 4 -1.0 -1.0 186.0722 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106046 14020 30 -1 2 2 -1 1 5 19.0 53.0 186.0722 797163 1259 1 0 -1 -1 -1 18.0 41 845201 982 1
14106045 14017 60 -1 1 1 -1 2 1 -1.0 -1.0 198.4097 0 -1 0 0 -1 -1 -1 12.0 30 126605 1281 1
14106045 14018 60 -1 2 2 1 1 4 -1.0 -1.0 198.4097 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106044 14014 40 -1 1 1 0 1 5 5.0 21.0 197.4496 220196 1279 1 5 -1 -1 -1 16.0 47 828894 1250 1
14106044 14015 8 -1 1 2 1 3 7 7.0 20.0 197.4496 864685 838 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106044 14016 14 -1 2 3 1 3 7 5.0 18.0 197.4496 816104 914 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106043 14013 50 -1 1 1 -1 1 1 -1.0 -1.0 461.7053 0 -1 0 0 -1 -1 -1 5.0 21 109708 1282 1
14106042 14010 30 -1 2 1 -1 1 1 -1.0 -1.0 84.7918 0 -1 0 0 -1 -1 -1 3.0 16 126623 1281 1
14106042 14011 40 -1 1 2 -1 3 1 -1.0 -1.0 84.7918 0 -1 0 0 -1 -1 -1 3.0 16 126605 1281 1
14106042 14012 2 -1 1 3 1 -1 8 -1.0 -1.0 84.7918 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106041 14009 50 -1 1 1 1 1 1 -1.0 -1.0 94.3993 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106040 14008 60 -1 2 1 1 1 4 -1.0 -1.0 590.0445 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14004 80 -1 1 1 1 2 3 -1.0 -1.0 248.4509 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14005 80 -1 2 2 1 1 3 -1.0 -1.0 248.4509 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14006 40 -1 2 3 1 1 4 -1.0 -1.0 248.4509 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106039 14007 2 -1 2 4 1 -1 8 -1.0 -1.0 248.4509 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106038 14001 50 -1 1 1 -1 1 1 -1.0 -1.0 203.5908 0 -1 0 0 -1 -1 -1 3.0 14 254856 1282 1
14106038 14002 50 -1 1 2 1 2 4 -1.0 -1.0 203.5908 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106038 14003 80 -1 2 3 1 2 3 -1.0 -1.0 203.5908 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106037 13998 40 -1 1 1 1 1 1 -1.0 -1.0 432.3846 0 -1 0 3 -1 -1 -1 9.0 31 487358 1323 1
14106037 13999 40 -1 2 2 1 1 4 -1.0 -1.0 432.3846 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106037 14000 2 -1 1 3 1 -1 8 -1.0 -1.0 432.3846 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106036 13996 60 -1 1 1 -1 1 1 -1.0 -1.0 302.9866 0 -1 0 0 -1 -1 -1 10.0 45 391689 1322 1
14106036 13997 50 -1 2 2 -1 1 1 -1.0 -1.0 302.9866 0 -1 0 0 -1 -1 -1 10.0 45 381170 1322 1
14106035 13995 70 -1 2 1 -1 1 1 -1.0 -1.0 313.2234 0 -1 0 0 -1 -1 -1 -1.0 -1 890900 149 1
14106034 13993 70 -1 2 1 1 1 3 -1.0 -1.0 188.1994 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106034 13994 70 -1 1 2 1 2 3 -1.0 -1.0 188.1994 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106033 13992 60 -1 2 1 1 1 5 3.0 16.0 244.1428 427609 1323 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106032 13990 40 -1 1 1 1 1 4 -1.0 -1.0 374.7333 0 -1 2 0 -1 -1 -1 -1.0 -1 0 -1 0
14106032 13991 40 -1 1 2 1 2 1 -1.0 -1.0 374.7333 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106031 13986 50 -1 1 1 -1 1 1 -1.0 -1.0 508.9973 0 -1 0 0 -1 -1 -1 36.0 63 968625 1301 1
14106031 13987 50 -1 2 2 1 3 4 -1.0 -1.0 508.9973 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106031 13988 17 -1 2 3 1 3 6 8.0 29.0 508.9973 1104871 1325 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
