arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
605 4 1 600 1 543087 5 1319 635 1 14106080 103 3 1 537781 0 1354 1 1 2 19200 0.376618712121 15.0 39.0 318.348697996 1 1 9
645 1 1 635 1 537781 0 1354 660 2 14106080 104 3 4 543087 5 1319 1 1 2 19200 0.332756287879 13.0 35.0 318.348697996 1 2 9
665 3 1 660 1 558603 6 1321 670 1 14106080 105 3 1 537781 0 1354 1 1 3 19201 0.708 4.0 18.0 318.348697996 1 3 9
675 1 1 670 1 537781 0 1354 950 2 14106080 106 3 3 558603 6 1321 1 1 3 19201 0.708 4.0 18.0 318.348697996 1 4 9
960 4 1 950 1 527927 1 1354 1035 1 14106080 107 3 1 537781 0 1354 1 1 1 19199 0.736 6.0 26.0 318.348697996 1 5 28
1045 1 1 1035 1 537781 0 1354 1440 2 14106080 108 3 4 527927 1 1354 1 1 1 19199 0.688 6.0 26.0 318.348697996 1 6 28
415 2 1 375 1 196 1 1319 930 1 14106080 109 3 1 537781 0 1354 1 2 1 19202 2.796 15.0 77.0 302.268917915 1 1 28
970 1 1 930 1 537781 0 1354 1440 2 14106080 110 3 2 196 1 1319 1 2 1 19202 2.812 13.0 91.0 302.268917915 1 2 28
485 2 1 470 1 431131 1 1351 1075 1 14106079 111 4 1 436956 0 1351 1 1 1 19198 0.798 4.0 20.0 368.418820353 1 1 24
1085 1 1 1075 1 436956 0 1351 1440 2 14106079 112 3 2 431131 1 1351 1 1 1 19198 0.798 4.0 20.0 368.418820353 1 2 14
540 4 1 510 1 348264 5 1346 585 1 14106078 113 3 1 391251 0 1322 1 1 1 19196 2.922 8.0 28.0 197.964722083 1 1 6
605 4 1 585 1 399668 5 1322 660 1 14106078 114 3 4 348264 5 1346 1 1 1 19196 2.736 11.0 34.0 197.964722083 2 2 6
680 4 1 660 1 427533 5 1323 695 1 14106078 115 3 4 399668 5 1322 1 1 1 19196 6.712 -1.0 -1.0 197.964722083 3 3 6
705 4 1 695 1 423212 7 1323 775 1 14106078 116 3 4 427533 5 1323 1 1 1 19196 0.218537979798 3.0 16.0 197.964722083 4 4 6
795 4 1 775 1 399668 5 1322 850 2 14106078 117 3 4 423212 7 1323 1 1 1 19196 2.202 8.0 25.0 197.964722083 1 5 6
855 4 1 850 1 399658 5 1322 865 2 14106078 118 3 4 399668 5 1322 1 1 1 19196 0.0857099494949 10.0 45.0 197.964722083 2 6 6
885 1 1 865 1 391251 0 1322 1440 2 14106078 119 3 4 399658 5 1322 1 1 1 19196 1.892 10.0 45.0 197.964722083 3 7 6
885 4 1 840 1 0 5 1270 990 1 14106078 120 3 1 391251 0 1322 1 2 1 19197 -1.0 -1.0 -1.0 199.339922853 1 1 6
1035 1 1 990 1 0 0 1270 1440 2 14106078 121 3 4 0 5 1270 1 2 1 19197 -1.0 1.0 9.0 199.339922853 1 2 6
510 4 1 495 1 573098 1 1320 930 1 14106077 122 5 1 492767 0 1350 1 1 1 19190 0.984 4.0 18.0 568.790740996 1 1 83
945 1 1 930 1 492767 0 1350 1030 2 14106077 123 3 4 573098 1 1320 1 1 1 19190 1.03 4.0 18.0 568.790740996 1 2 34
1045 4 1 1030 1 574100 7 1320 1110 1 14106077 124 4 1 492767 0 1350 1 1 2 19191 1.138 4.0 18.0 568.790740996 1 3 17
1125 3 1 1110 1 471428 6 1350 1140 2 14106077 125 4 4 574100 7 1320 1 1 2 19191 1.22 4.0 18.0 568.790740996 1 4 17
1145 1 1 1140 1 492767 0 1350 1440 2 14106077 126 4 3 471428 6 1350 1 1 2 19191 0.163201035354 3.0 17.0 568.790740996 2 5 17
470 2 1 450 1 480040 1 1352 780 1 14106077 127 3 1 492767 0 1350 1 2 1 19192 1.288 5.0 22.0 571.790488035 1 1 34
795 1 1 780 1 492767 0 1350 1440 2 14106077 128 3 2 480040 1 1352 1 2 1 19192 1.262 5.0 21.0 571.790488035 1 2 34
510 3 1 495 2 573100 2 1320 930 1 14106077 129 5 1 492767 0 1350 1 3 1 19193 0.984 4.0 18.0 609.405875 1 1 21
945 1 1 930 2 492767 0 1350 1030 2 14106077 130 5 3 573100 2 1320 1 3 1 19193 1.03 4.0 18.0 609.405875 1 2 21
1045 4 1 1030 2 574100 7 1320 1110 1 14106077 131 4 1 492767 0 1350 1 3 2 19194 1.138 4.0 18.0 609.405875 1 3 17
1125 4 1 1110 2 471428 6 1350 1140 2 14106077 132 4 4 574100 7 1320 1 3 2 19194 1.22 4.0 18.0 609.405875 1 4 17
1145 1 1 1140 2 492767 0 1350 1440 2 14106077 133 4 4 471428 6 1350 1 3 2 19194 0.163201035354 3.0 17.0 609.405875 2 5 17
510 3 1 495 2 573100 2 1320 930 1 14106077 134 5 1 492767 0 1350 1 4 1 19195 0.984 4.0 18.0 609.405875 1 1 21
945 1 1 930 2 492767 0 1350 1440 2 14106077 135 5 3 573100 2 1320 1 4 1 19195 1.03 4.0 18.0 609.405875 1 2 21
800 3 1 780 1 479576 6 1352 855 1 14106076 136 4 1 469634 0 1350 1 2 2 19189 1.662 5.0 21.0 506.738276965 1 4 14
875 4 1 855 1 522602 5 1350 885 2 14106076 137 4 3 479576 6 1352 1 2 2 19189 1.31 5.0 21.0 506.738276965 1 5 14
900 1 1 885 1 469634 0 1350 1440 2 14106076 138 4 4 522602 5 1350 1 2 2 19189 0.88 3.0 17.0 506.738276965 2 6 14
1439 4 1 1439 1 496655 4 1323 600 1 14106076 139 3 1 469634 0 1350 1 2 1 19188 1.036 5.0 20.0 506.738276965 1 1 8
615 4 1 600 1 469216 4 1352 625 1 14106076 140 3 4 496655 4 1323 1 2 1 19188 0.85 6.0 23.0 506.738276965 2 2 8
645 1 1 625 1 469634 0 1350 780 2 14106076 141 3 4 469216 4 1352 1 2 1 19188 0.81 5.0 21.0 506.738276965 1 3 8
505 2 1 495 1 173496 1 1280 540 1 14106075 142 3 1 135733 0 1280 1 1 1 19185 0.358566515152 3.0 17.0 904.274283801 1 1 18
630 4 1 540 1 873552 1 1333 995 1 14106075 143 4 2 173496 1 1280 1 1 1 19185 7.098 34.0 55.0 904.274283801 2 2 32
1080 2 1 995 1 173496 1 1280 1095 2 14106075 144 4 4 873552 1 1333 1 1 1 19185 7.01 35.0 69.0 904.274283801 1 3 32
1105 4 1 1095 1 200186 5 1278 1140 2 14106075 145 3 2 173496 1 1280 1 1 1 19185 0.86 6.0 23.0 904.274283801 2 4 18
1155 1 1 1140 1 135733 0 1280 1440 2 14106075 146 3 4 200186 5 1278 1 1 1 19185 1.014 6.0 21.0 904.274283801 3 5 18
450 3 1 435 -1 173870 2 1280 870 1 14106075 147 1 1 135733 0 1280 1 3 1 19186 0.0 3.8 76.0 973.989875 1 1 7
885 1 1 870 -1 135733 0 1280 1440 2 14106075 148 1 3 173870 2 1280 1 3 1 19186 0.0 3.8 76.0 973.989875 1 2 7
475 3 1 465 -1 173847 2 1280 890 1 14106075 149 1 1 135733 0 1280 1 4 1 19187 0.0 3.8 76.0 973.989875 1 1 7
