hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14106026 13970 14 -1 1 4 1 3 7 4.5 14.75 809.2278 325636 1347 1 1 -1 -1 -1 -1.0 -1 0 -1 0
14106026 13971 14 -1 1 5 1 3 7 4.5 14.75 809.2278 325636 1347 1 1 -1 -1 -1 -1.0 -1 0 -1 0
14106025 13965 70 -1 1 1 1 1 3 -1.0 -1.0 171.5332 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106025 13966 70 -1 2 2 1 1 3 -1.0 -1.0 171.5332 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106024 13963 80 -1 2 1 1 1 3 -1.0 -1.0 132.9794 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106024 13964 80 -1 1 2 1 2 3 -1.0 -1.0 132.9794 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106023 13960 40 -1 2 1 1 1 4 -1.0 -1.0 201.7935 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106023 13961 40 -1 1 2 -1 1 1 -1.0 -1.0 201.7935 0 -1 0 3 -1 -1 -1 3.85 11 1067465 950 1
14106023 13962 8 -1 2 3 1 2 7 1.63427575758 6.17294375823 201.7935 966745 1170 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106022 13959 30 -1 1 1 -1 1 1 -1.0 -1.0 288.7516 0 -1 0 0 -1 -1 -1 27.075 45 718305 1339 1
14106021 13957 30 -1 1 1 0 1 1 -1.0 -1.0 1777.8131 0 -1 0 0 -1 -1 -1 6.15 19 748456 1327 1
14106021 13958 30 -1 2 2 0 3 1 -1.0 -1.0 1777.8131 0 -1 0 0 -1 -1 -1 4.745 16 674101 1325 1
14106020 13955 50 -1 1 1 -1 1 5 0.272159090909 1.96656891496 487.6054 957933 1317 1 0 -1 -1 -1 10.62 32 862413 1327 1
14106020 13956 50 -1 2 2 1 2 2 -1.0 -1.0 487.6054 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 2
14106019 13954 50 -1 1 1 -1 1 1 -1.0 -1.0 382.9253 0 -1 0 0 -1 -1 -1 20.035 48 947322 1330 1
14106018 13950 50 -1 1 1 -1 2 1 -1.0 -1.0 869.5623 0 -1 0 0 -1 -1 -1 9.515 27 959706 1021 1
