fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 13.906 0 0 -1 300559 0 1536 0 0 1 1342 1 1 0 -1 -1 2 341
0 0 0 3.907 0 0 -1 300564 0 1223610 0 0 1 1259 1 2 0 -1 -1 3 281
0 0 0 14.205 0 0 -1 300568 0 679289 0 0 1 1269 1 1 0 -1 -1 2 40
0 0 0 13.889 0 0 -1 300569 0 723583 0 0 1 1254 1 0 0 -1 -1 2 424
0 0 0 3.907 0 0 -1 300573 0 1097735 0 0 1 1270 1 0 0 -1 -1 3 28
0 0 0 10.265 0 0 -1 300574 0 106195 0 0 1 1282 1 0 0 -1 -1 3 2249
0 0 0 3.907 0 0 -1 300577 0 932867 0 0 1 1268 1 0 0 -1 -1 3 69
0 0 0 27.873 0 0 -1 300580 0 1094501 0 0 1 1338 1 0 0 -1 -1 2 692
0 0 0 4.161 0 0 -1 300582 0 2173 0 0 1 1302 1 0 0 -1 -1 3 1975
0 0 0 4.161 0 0 -1 300585 0 758555 0 0 1 1243 1 0 0 -1 -1 3 717
0 0 0 3.907 0 0 -1 300586 0 698804 0 0 1 1260 1 1 0 -1 -1 3 311
0 0 0 4.161 0 0 -1 300587 0 2385 0 0 1 1273 1 0 0 -1 -1 3 1832
0 0 0 4.11 0 0 -1 300590 0 1223610 0 0 1 1259 1 0 0 -1 -1 3 281
0 0 0 3.907 0 0 -1 300591 0 1245284 0 0 1 1269 1 1 0 -1 -1 3 92
0 0 0 4.161 0 0 -1 300592 0 1208259 0 0 1 1252 1 0 0 -1 -1 3 606
0 0 0 4.161 0 0 -1 300593 0 770261 0 0 1 1257 1 0 0 -1 -1 3 372
0 0 0 10.265 0 0 -1 300594 0 105253 0 0 1 1282 1 1 0 -1 -1 3 2256
0 0 0 4.161 0 0 -1 300595 0 770951 0 0 1 1254 1 2 0 -1 -1 3 409
0 0 0 5.034 0 0 -1 300596 0 1115820 0 0 1 1256 1 0 0 -1 -1 3 426
0 0 0 4.161 0 0 -1 300603 0 805035 0 0 1 1341 1 1 0 -1 -1 3 396
0 0 0 12.309 0 0 -1 300604 0 1224774 0 0 1 1267 1 0 0 -1 -1 2 22
0 0 0 3.907 0 0 -1 300612 0 821029 0 0 1 1271 1 1 0 -1 -1 3 16
0 0 0 10.346 0 0 -1 300616 0 734609 0 0 1 911 1 2 0 -1 -1 3 1795
0 0 0 169.878 0 0 -1 300620 0 959090 0 0 1 365 1 0 0 -1 -1 3 1527
0 0 0 3.907 0 0 -1 300625 0 1473 0 0 1 1264 1 0 0 -1 -1 3 278
0 0 0 169.878 0 0 -1 300628 0 1155578 0 0 1 1237 1 0 0 -1 -1 3 1408
0 0 0 3.876 0 0 -1 300652 0 185711 0 0 1 1279 1 3 0 -1 -1 3 2484
0 0 0 14.496 0 0 -1 300676 0 887843 0 0 1 1247 1 0 0 -1 -1 2 627
0 0 0 3.907 0 0 -1 300692 0 1225040 0 0 1 1264 1 0 0 -1 -1 3 282
0 0 0 10.265 0 0 -1 300698 0 122780 0 0 1 1281 1 1 0 -1 -1 3 2328
0 0 0 15.04 0 0 -1 300719 0 977507 0 0 1 1340 1 0 0 -1 -1 2 397
0 0 0 3.907 0 0 -1 300720 0 1043813 0 0 1 1267 1 2 0 -1 -1 3 98
0 0 0 10.265 0 0 -1 300727 0 104674 0 0 1 1282 1 0 0 -1 -1 3 2253
0 0 0 10.265 0 0 -1 300733 0 177308 0 0 1 1278 1 0 0 -1 -1 3 2426
0 0 0 4.161 0 0 -1 300745 0 909813 0 0 1 1257 1 0 0 -1 -1 3 362
0 0 0 14.04 0 0 -1 300751 0 1101840 0 0 1 1260 1 1 0 -1 -1 2 321
0 0 0 37.399 0 0 -1 300753 0 24262 0 0 1 1284 1 2 0 -1 -1 2 2138
0 0 0 3.907 0 0 -1 300754 0 780869 0 0 1 1243 1 0 0 -1 -1 3 814
0 0 0 13.884 0 0 -1 300761 0 1157281 0 0 1 1344 1 2 0 -1 -1 2 138
0 0 0 10.265 0 0 -1 300764 0 39947 0 0 1 1287 1 2 0 -1 -1 3 2145
0 0 0 13.903 0 0 -1 300768 0 1151097 0 0 1 1344 1 0 0 -1 -1 2 159
0 0 0 10.265 0 0 -1 300778 0 46071 0 0 1 1287 1 1 0 -1 -1 3 2157
0 0 0 169.878 0 0 -1 300782 0 804264 0 0 1 905 1 1 0 -1 -1 3 1769
0 0 0 7.92 0 0 -1 300786 0 1184876 0 0 1 1338 1 1 0 -1 -1 3 740
0 0 0 4.161 0 0 -1 300787 0 829176 0 0 1 1253 1 0 0 -1 -1 3 573
0 0 0 4.161 0 0 -1 300788 0 853580 0 0 1 1256 1 0 0 -1 -1 3 546
0 0 0 7.92 0 0 -1 300790 0 1129819 0 0 1 1336 1 0 0 -1 -1 3 860
0 0 0 4.161 0 0 -1 300791 0 913572 0 0 1 1269 1 0 0 -1 -1 3 68
0 0 0 13.824 0 0 -1 300792 0 1115797 0 0 1 1256 1 1 0 -1 -1 2 425
0 0 0 14.638 0 0 -1 300800 0 1620 0 0 1 1254 1 1 0 -1 -1 2 425
0 0 0 10.265 0 0 -1 300807 0 126636 0 0 1 1280 1 0 0 -1 -1 3 2397
0 0 0 15.13 0 0 -1 300811 0 1264371 0 0 1 1260 1 1 0 -1 -1 2 267
0 0 0 16.514 0 0 -1 300814 0 750257 0 0 1 1253 1 0 0 -1 -1 1 552
0 0 0 13.889 0 0 -1 300817 0 942660 0 0 1 1246 1 0 0 -1 -1 2 624
0 0 0 3.907 0 0 -1 300819 0 1225068 0 0 1 1264 1 0 0 -1 -1 3 282
0 0 0 4.161 0 0 -1 300820 0 1115583 0 0 1 1256 1 0 0 -1 -1 3 428
0 0 0 4.161 0 0 -1 300821 0 1115715 0 0 1 1256 1 0 0 -1 -1 3 548
0 0 0 4.161 0 0 -1 300823 0 1161038 0 0 1 1271 1 0 0 -1 -1 3 16
0 0 0 169.878 0 0 -1 300831 0 959090 0 0 1 365 1 1 0 -1 -1 3 1527
0 0 0 4.161 0 0 -1 300835 0 805077 0 0 1 1341 1 1 0 -1 -1 3 386
0 0 0 3.907 0 0 -1 300836 0 835645 0 0 1 1271 1 0 0 -1 -1 3 25
0 0 0 3.907 0 0 -1 300838 0 893108 0 0 1 1343 1 1 0 -1 -1 3 242
0 0 0 14.441 0 0 -1 300840 0 1238106 0 0 1 1270 1 0 0 -1 -1 2 3
