OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ID,SRID,ARM,Year_2010,Direction_,Location,LOC_ERROR,estimated,PSRCEdgeID,Oneway,HOV_I,HOV_J,NewINode,NewJNode,Shape_Length,key,key_hov
95,1,583,1,3482,5058,002Q100535,0.066,2600,East Bound,On Q1 RAMP (SR 9 TO SR 2 EB) After BOTHWAYS INTERSECTION SR 9,NO ERROR,4744.797668,218048,0,0,0,23892,23798,1030.227879,23892-23798,0-0
96,1,296,1,3559,2837,104,30.01,17000,Bothways,"Before Milepost 30.55 A: LEFT INTERSECTION NE 195TH ST,  BOTHWAYS INTERSECTION 25TH AVE NE",NO ERROR,16257.19995,10164,2,0,0,51443,51903,1217.715971,51443-51903,0-0
97,1,328,1,3622,4784,527,8.64,20000,Bothways,Before Milepost 8.65 A: LEFT INTERSECTION 16TH AVE SE,NO ERROR,16599.51057,215251,2,0,0,31961,32014,286.535025,31961-32014,0-0
98,1,549,1,3635,4844,525,6.19,16000,Bothways,After Milepost 6.01 A: LEFT WYE CONNECTION 92ND ST SW,NO ERROR,15200.81134,217606,2,0,0,27572,27355,813.6810887,27572-27355,0-0
99,1,395,1,3640,25,2,3.66,31000,Bothways,Before Milepost 3.54 A: RIGHT OFF RAMP BICKFORD AVE (OLD SR 2),NO ERROR,41780.99304,8427,0,0,0,22913,22570,1802.554786,22913-22570,0-0
100,1,290,1,3648,2848,104,26.67,20000,Bothways,"Before Milepost 26.80 A: RIGHT ENTRANCE/EXIT APARTMENTS,  LEFT INTERSECTION 95TH PL W",NO ERROR,19844.63007,188735,2,0,0,47578,47867,1023.934286,47578-47867,0-0
101,1,394,1,3652,26,2,2.89,31000,Bothways,After Milepost 2.75 A: LEFT CENTER OFF RAMP SR 204-HEWITT AVE,NO ERROR,41780.99304,8393,0,0,0,21892,22531,3843.28409,21892-22531,0-0
102,1,533,1,3681,3616,310,0.81,38000,Bothways,"After Milepost 0.80 A: RIGHT INTERSECTION NATIONAL AVE,  LEFT ENTRANCE/EXIT BUSINESS",NO ERROR,23431.70782,208078,2,0,0,92577,93219,1349.510461,92577-93219,0-0
103,1,203,1,3691,3060,160,0.81,22000,Bothways,Before Milepost 0.82 A: BOTHWAYS INTERSECTION BETHEL RD SE,NO ERROR,16628.27969,208466,2,0,0,107092,107077,642.6450239,107092-107077,0-0
104,1,311,1,3778,4802,527,0.44,15000,Bothways,"After Milepost 0.43 A: RIGHT INTERSECTION NE 190TH ST,  LEFT INTERSECTION NE 191ST ST",NO ERROR,11428.12265,202041,2,0,0,52259,52899,1497.041064,52259-52899,0-0
105,1,160,1,3822,3641,305,1.63,19000,Bothways,After Milepost 1.64 A: BOTHWAYS INTERSECTION MADISON AVE,NO ERROR,12489.40494,201243,2,0,0,74276,76079,3547.648251,74276-76079,0-0
106,1,161,1,3823,3642,305,0.97,17000,Bothways,After Milepost 0.98 A: BOTHWAYS INTERSECTION HIGH SCHOOL RD,NO ERROR,9404.875183,208328,2,0,0,78196,76079,3484.256826,78196-76079,0-0
107,1,335,1,4029,3435,202,7.04,15000,East Bound,"After Milepost 7.03 A: RIGHT INTERSECTION CLEVELAND ST-OLD SR 908,  RIGHT INTERSECTION 164TH AVE NE",NO ERROR,10726.4762,29919,1,0,0,71019,70809,740.0625752,71019-70809,0-0
108,1,89,1,4141,593,5,120.38,118000,Bothways,Before Milepost 120.33 A: LEFT ON RAMP SBCD LANE,NO ERROR,100014.2764,7870,0,0,0,174478,175503,6151.275445,174478-175503,0-0
109,1,527,1,4166,6092,016S101539,0.098,12000,South Bound,On S1 RAMP (SR 302 TO SR 16 EB) After LEFT INTERSECTION SR 302 WB,NO ERROR,8980.015137,210506,0,0,0,127442,128372,1831.286528,127442-128372,0-0
110,1,596,1,4203,2010,99,4.5,15000,Bothways,"After Milepost 8.14 A: RIGHT INTERSECTION SR 18,  LEFT INTERSECTION S 348TH ST",NO ERROR,18399.39615,93550,2,0,0,143235,142584,1407.973601,143235-142584,0-0
111,1,351,1,4211,5009,900,2.35,20000,Bothways,After Milepost 8.27 A: RIGHT INTERSECTION 68TH AVE S,NO ERROR,18058.2832,67082,2,0,0,111910,111706,1027.544773,111910-111706,0-0
112,1,350,1,4243,5010,900,2.33,27000,Bothways,Before Milepost 8.27 A: RIGHT INTERSECTION 68TH AVE S,NO ERROR,21211.40494,206077,2,0,0,111524,111706,1056.963062,111524-111706,0-0
113,1,354,1,4246,5005,900,3.93,22000,Bothways,Before Milepost 9.87 A: LEFT WYE CONNECTION SR 167,NO ERROR,16806.11884,206153,2,0,0,112401,112413,373.8043307,112401-112413,0-0
