year,military_jobs,w_geocode,Base,PSRC_ID,BKRCastTAZ
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,79.0,531000000000000.0,JBLM Madigan,3019.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
2014,40.0,531000000000000.0,JBLM Maingate,3022.0,1319
