TAZ,TAD,OldDistric,County,District,New DistrictName
442,47.0,8.0,King,6,East Side
443,47.0,8.0,King,6,East Side
444,47.0,8.0,King,6,East Side
445,47.0,8.0,King,6,East Side
446,47.0,8.0,King,6,East Side
447,47.0,8.0,King,6,East Side
448,47.0,8.0,King,6,East Side
449,47.0,8.0,King,6,East Side
450,47.0,8.0,King,6,East Side
451,47.0,8.0,King,6,East Side
452,47.0,8.0,King,6,East Side
453,47.0,8.0,King,6,East Side
454,47.0,8.0,King,6,East Side
455,47.0,8.0,King,6,East Side
456,47.0,8.0,King,6,East Side
457,47.0,8.0,King,6,East Side
458,47.0,8.0,King,6,East Side
459,47.0,8.0,King,6,East Side
460,47.0,8.0,King,6,East Side
461,47.0,8.0,King,6,East Side
462,47.0,8.0,King,6,East Side
463,47.0,8.0,King,6,East Side
464,47.0,8.0,King,6,East Side
465,47.0,8.0,King,6,East Side
466,47.0,8.0,King,6,East Side
467,47.0,8.0,King,6,East Side
468,47.0,8.0,King,6,East Side
469,47.0,8.0,King,6,East Side
470,47.0,8.0,King,6,East Side
471,47.0,8.0,King,6,East Side
472,47.0,8.0,King,6,East Side
473,47.0,8.0,King,6,East Side
474,47.0,8.0,King,6,East Side
475,47.0,8.0,King,6,East Side
476,47.0,8.0,King,6,East Side
477,47.0,8.0,King,6,East Side
478,47.0,8.0,King,6,East Side
479,47.0,8.0,King,6,East Side
480,47.0,8.0,King,6,East Side
481,47.0,8.0,King,6,East Side
482,47.0,8.0,King,6,East Side
483,47.0,8.0,King,6,East Side
484,47.0,8.0,King,6,East Side
485,47.0,8.0,King,6,East Side
486,47.0,8.0,King,6,East Side
487,41.0,7.0,King,6,East Side
488,41.0,7.0,King,6,East Side
489,47.0,8.0,King,6,East Side
490,44.0,8.0,King,6,East Side
491,44.0,8.0,King,6,East Side
492,44.0,8.0,King,6,East Side
493,44.0,8.0,King,6,East Side
494,44.0,8.0,King,6,East Side
495,44.0,8.0,King,6,East Side
496,44.0,8.0,King,6,East Side
497,44.0,8.0,King,6,East Side
498,44.0,8.0,King,6,East Side
499,44.0,8.0,King,6,East Side
500,44.0,8.0,King,6,East Side
501,44.0,8.0,King,6,East Side
502,44.0,8.0,King,6,East Side
503,44.0,8.0,King,6,East Side
504,44.0,8.0,King,6,East Side
505,44.0,8.0,King,6,East Side
506,44.0,8.0,King,6,East Side
507,44.0,8.0,King,6,East Side
508,44.0,8.0,King,6,East Side
509,44.0,8.0,King,6,East Side
510,44.0,8.0,King,6,East Side
511,44.0,8.0,King,6,East Side
512,44.0,8.0,King,6,East Side
513,44.0,8.0,King,6,East Side
514,41.0,7.0,King,6,East Side
515,41.0,7.0,King,6,East Side
516,41.0,7.0,King,6,East Side
517,41.0,7.0,King,6,East Side
518,44.0,8.0,King,6,East Side
519,44.0,8.0,King,6,East Side
520,44.0,8.0,King,6,East Side
521,44.0,8.0,King,6,East Side
522,44.0,8.0,King,6,East Side
523,44.0,8.0,King,6,East Side
524,44.0,8.0,King,6,East Side
525,44.0,8.0,King,6,East Side
526,44.0,8.0,King,6,East Side
527,44.0,8.0,King,6,East Side
528,44.0,8.0,King,6,East Side
529,44.0,8.0,King,6,East Side
530,44.0,8.0,King,6,East Side
531,44.0,8.0,King,6,East Side
532,42.0,7.0,King,6,East Side
533,42.0,7.0,King,6,East Side
534,42.0,7.0,King,6,East Side
535,42.0,7.0,King,6,East Side
536,42.0,7.0,King,6,East Side
537,42.0,7.0,King,6,East Side
538,42.0,7.0,King,6,East Side
539,42.0,7.0,King,6,East Side
540,42.0,7.0,King,6,East Side
541,42.0,7.0,King,6,East Side
542,42.0,7.0,King,6,East Side
543,42.0,7.0,King,6,East Side
544,42.0,7.0,King,6,East Side
545,42.0,7.0,King,6,East Side
546,42.0,7.0,King,6,East Side
547,42.0,7.0,King,6,East Side
548,42.0,7.0,King,6,East Side
549,42.0,7.0,King,6,East Side
550,42.0,7.0,King,6,East Side
551,42.0,7.0,King,6,East Side
552,44.0,8.0,King,6,East Side
553,44.0,8.0,King,6,East Side
554,44.0,8.0,King,6,East Side
555,44.0,8.0,King,6,East Side
556,44.0,8.0,King,6,East Side
557,44.0,8.0,King,6,East Side
558,44.0,8.0,King,6,East Side
559,44.0,8.0,King,6,East Side
560,44.0,8.0,King,6,East Side
561,42.0,7.0,King,6,East Side
562,42.0,7.0,King,6,East Side
563,42.0,7.0,King,6,East Side
564,42.0,7.0,King,6,East Side
565,41.0,7.0,King,6,East Side
566,44.0,8.0,King,6,East Side
567,44.0,8.0,King,6,East Side
568,44.0,8.0,King,6,East Side
569,44.0,8.0,King,6,East Side
570,44.0,8.0,King,6,East Side
571,44.0,8.0,King,6,East Side
572,44.0,8.0,King,6,East Side
573,44.0,8.0,King,6,East Side
574,44.0,8.0,King,6,East Side
575,44.0,8.0,King,6,East Side
576,44.0,8.0,King,6,East Side
577,44.0,8.0,King,6,East Side
578,44.0,8.0,King,6,East Side
579,44.0,8.0,King,6,East Side
580,44.0,8.0,King,6,East Side
581,44.0,8.0,King,6,East Side
582,44.0,8.0,King,6,East Side
583,44.0,8.0,King,6,East Side
584,44.0,8.0,King,6,East Side
585,44.0,8.0,King,6,East Side
586,44.0,8.0,King,6,East Side
587,44.0,8.0,King,6,East Side
588,44.0,8.0,King,6,East Side
589,44.0,8.0,King,6,East Side
590,44.0,8.0,King,6,East Side
591,44.0,8.0,King,6,East Side
592,41.0,7.0,King,6,East Side
593,41.0,7.0,King,6,East Side
594,41.0,7.0,King,6,East Side
595,41.0,7.0,King,6,East Side
596,41.0,7.0,King,6,East Side
597,41.0,7.0,King,6,East Side
598,41.0,7.0,King,6,East Side
599,41.0,7.0,King,6,East Side
600,41.0,7.0,King,6,East Side
601,41.0,7.0,King,6,East Side
602,41.0,7.0,King,6,East Side
603,41.0,7.0,King,6,East Side
604,41.0,7.0,King,6,East Side
605,41.0,7.0,King,6,East Side
606,41.0,7.0,King,6,East Side
607,41.0,7.0,King,6,East Side
608,41.0,7.0,King,6,East Side
609,41.0,7.0,King,6,East Side
610,41.0,7.0,King,6,East Side
611,41.0,7.0,King,6,East Side
612,41.0,7.0,King,6,East Side
613,41.0,7.0,King,6,East Side
614,41.0,7.0,King,6,East Side
615,41.0,7.0,King,6,East Side
616,41.0,7.0,King,6,East Side
617,50.0,8.0,King,6,East Side
618,50.0,8.0,King,6,East Side
619,50.0,8.0,King,6,East Side
620,50.0,8.0,King,6,East Side
621,50.0,8.0,King,6,East Side
622,50.0,8.0,King,6,East Side
623,50.0,8.0,King,6,East Side
624,50.0,8.0,King,6,East Side
625,50.0,8.0,King,6,East Side
626,50.0,8.0,King,6,East Side
627,50.0,8.0,King,6,East Side
628,50.0,8.0,King,6,East Side
629,50.0,8.0,King,6,East Side
630,50.0,8.0,King,6,East Side
631,50.0,8.0,King,6,East Side
632,50.0,8.0,King,6,East Side
633,50.0,8.0,King,6,East Side
634,50.0,8.0,King,6,East Side
635,50.0,8.0,King,6,East Side
636,44.0,8.0,King,6,East Side
637,44.0,8.0,King,6,East Side
638,42.0,7.0,King,6,East Side
639,42.0,7.0,King,6,East Side
640,42.0,7.0,King,6,East Side
641,42.0,7.0,King,6,East Side
642,42.0,7.0,King,6,East Side
643,42.0,7.0,King,6,East Side
644,42.0,7.0,King,6,East Side
645,42.0,7.0,King,6,East Side
646,42.0,7.0,King,6,East Side
647,42.0,7.0,King,6,East Side
648,42.0,7.0,King,6,East Side
649,41.0,7.0,King,6,East Side
650,41.0,7.0,King,6,East Side
651,41.0,7.0,King,6,East Side
652,40.0,7.0,King,6,East Side
653,41.0,7.0,King,6,East Side
654,41.0,7.0,King,6,East Side
655,41.0,7.0,King,6,East Side
656,41.0,6.0,King,6,East Side
657,41.0,7.0,King,6,East Side
658,47.0,8.0,King,6,East Side
681,50.0,8.0,King,6,East Side
682,50.0,8.0,King,6,East Side
683,52.0,9.0,King,6,East Side
684,52.0,9.0,King,6,East Side
685,52.0,9.0,King,6,East Side
686,52.0,9.0,King,6,East Side
687,52.0,9.0,King,6,East Side
